Image ID,Label,correct_obj+context,context,correct_obj
397133,person,A person standing by a stove in a kitchen.,A  standing by a stove in a kitchen.,person
397133,oven,Man in apron standing on front of oven with pans and bakeware,Man in apron standing on front of  with pans and bakeware,oven
37777,dining table,The dining table near the kitchen has a bowl of fruit on it.,The  near the kitchen has a bowl of fruit on it.,dining table
252219,person,a person with a shopping cart on a city street ,a  with a shopping cart on a city street ,person
252219,cup,a homeless man holding a cup and standing next to a shopping cart on a street,a homeless man holding a  and standing next to a shopping cart on a street,cup
87038,bicycle,Athletes performing tricks on a BMX bicycle and a skateboard.,Athletes performing tricks on a BMX  and a skateboard.,bicycle
87038,person,A person on a skateboard and bike at a skate park.,A  on a skateboard and bike at a skate park.,person
87038,skateboard,A person on a skateboard and bike at a skate park.,A person on a  and bike at a skate park.,skateboard
174482,bicycle,A bicycle is chained to a fixture on a city street,A  is chained to a fixture on a city street,bicycle
403385,toilet,a shower toilet and sink in a basement bathroom,a shower  and sink in a basement bathroom,toilet
403385,sink,a shower toilet and sink in a basement bathroom,a shower toilet and  in a basement bathroom,sink
6818,toilet,A bathroom with no toilets and a red and green bucket. ,A bathroom with no  and a red and green bucket. ,toilets
480985,motorcycle,The shiny motorcycle has been put on display.,The shiny  has been put on display.,motorcycle
458054,toilet,A row of white toilets sitting on top of a dirt ground.,A row of white  sitting on top of a dirt ground.,toilets
331352,toilet,A small closed toilet in a cramped space.,A small closed  in a cramped space.,toilet
331352,sink,A tan toilet and sink combination in a small room.,A tan toilet and  combination in a small room.,sink
296649,car,"people ride their motorcycles beside some cars, passing by an empty street with stores and apartment buildings","people ride their motorcycles beside some , passing by an empty street with stores and apartment buildings",cars
296649,motorcycle,People are walking and riding motorcycles on the street,People are walking and riding  on the street,motorcycles
296649,person,"people ride their motorcycles beside some cars, passing by an empty street with stores and apartment buildings"," ride their motorcycles beside some cars, passing by an empty street with stores and apartment buildings",people
386912,person,a person sitting at a desk with a keyboard and monitor ,a  sitting at a desk with a keyboard and monitor ,person
386912,keyboard,a person sitting at a desk with a keyboard and monitor ,a person sitting at a desk with a  and monitor ,keyboard
502136,vase,"A building wall and pair of doors that are open, along with vases of flowers on the outside of the building.","A building wall and pair of doors that are open, along with  of flowers on the outside of the building.",vases
491497,tv,"A white chair, books and shelves and a tv on in this room.","A white chair, books and shelves and a  on in this room.",tv
491497,chair,A fluffy white chair that faces away fro a television.,A fluffy white  that faces away fro a television.,chair
491497,book,"A white chair, books and shelves and a tv on in this room.","A white chair,  and shelves and a tv on in this room.",books
184791,bowl,"Painting of oranges, a bowl, candle, and a pitcher","Painting of oranges, a , candle, and a pitcher",bowl
184791,orange,"Painting of oranges, a bowl, candle, and a pitcher","Painting of , a bowl, candle, and a pitcher",oranges
348881,person,A large white airplane and a person on a lot.,A large white airplane and a  on a lot.,person
348881,airplane,A large white airplane and a person on a lot.,A large white  and a person on a lot.,airplane
289393,giraffe,"Several toy animals - a bull, giraffe, deer and parakeet.","Several toy animals - a bull, , deer and parakeet.",giraffe
522713,boat, a bench sitting in the grass facing the water and boats , a bench sitting in the grass facing the water and  ,boats
522713,bench, a bench sitting in the grass facing the water and boats , a  sitting in the grass facing the water and boats ,bench
17627,car,Several cars are parked in front of a building.,Several  are parked in front of a building.,cars
143931,bus,A political candidate advertisement on the side of a coach bus.,A political candidate advertisement on the side of a coach .,bus
