Image ID,Label,correct_obj+context,context,correct_obj,context_,
255664,run,A yellow dog runs to grab a yellow frisbee in the grass ,A yellow dog  to grab a yellow frisbee in the grass ,runs,A yellow dog _ to grab a yellow frisbee in the grass ,verb
409542,walking,A group of people walking past a tall clock.,A group of people  past a tall clock.,walking,A group of people _ past a tall clock.,verb
134112,laying,A small dog laying on a bed next to a laptop computer.,A small dog  on a bed next to a laptop computer.,laying,A small dog _ on a bed next to a laptop computer.,verb
190756,jumping,a person jumping in the air on a motorcycle,a person  in the air on a motorcycle,jumping,a person _ in the air on a motorcycle,verb
482917,looking,A dog between the feet of a person looking at a TV.,A dog between the feet of a person  at a TV.,looking,A dog between the feet of a person _ at a TV.,verb
80340,holding,A boy in a tie holding a small suit case.,A boy in a tie  a small suit case.,holding,A boy in a tie _ a small suit case.,verb
552902,graze,a zebra grazes on some green grass next to some trees ,a zebra  on some green grass next to some trees ,grazes,a zebra _ on some green grass next to some trees ,verb
85478,swimming,There is a polar bear swimming in the water.,There is a polar bear  in the water.,swimming,There is a polar bear _ in the water.,verb
374369,wearing,a person standing snow wearing a snow suit and skis,a person standing snow  a snow suit and skis,wearing,a person standing snow _ a snow suit and skis,verb
23034,riding,A man riding on the back of a brown horse.,A man  on the back of a brown horse.,riding,A man _ on the back of a brown horse.,verb
494759,two,Two people on a beach flying a kite in the air., people on a beach flying a kite in the air.,Two,_ people on a beach flying a kite in the air.,num
31269,three,three zebras in a field near bushes ,zebras in a field near bushes ,three,_ zebras in a field near bushes ,num
562121,two,Two zebras fighting in a cloud of dust, zebras fighting in a cloud of dust,Two,_ zebras fighting in a cloud of dust,num
41888,three,Three birds walking around a dry grass field., birds walking around a dry grass field.,Three,_ birds walking around a dry grass field.,num
221708,four,A kitchen with a table and four chairs.,A kitchen with a table and  chairs.,four,A kitchen with a table and _ chairs.,num
125072,five,Five cows are grazing at a lake next to a road., cows are grazing at a lake next to a road.,Five,_ cows are grazing at a lake next to a road.,num
